name,user,password,cpf,miles
João Silva,jsilva,senha123,12345678901,1500
Maria Oliveira,moliveira,abc321,98765432100,3200
Carlos Souza,csouza,pass789,45678912345,780
Ana Pereira,apereira,ana2024,32165498700,9400
Lucas Almeida,lalmeida,lucas001,15975345682,220
Juliana Castro,jcastro,jully77,75395145682,6800
Rafael Santos,rsantos,raf@234,85236974125,4300
Fernanda Lima,flima,fernanda55,95135745620,12000
Bruno Ferreira,bferreira,bru9988,74125896300,500
Patrícia Gomes,pgomes,pg12345,36925814733,2700
Gabriel Rocha,grocha,gab444,25814736988,620
Camila Duarte,cduarte,camila90,14725836955,8300
Eduardo Ramos,eramos,edr001,65498732144,190
Beatriz Melo,bmelo,bia4321,78945612377,9100
Ricardo Teixeira,rteixeira,ric2024,85214796320,3500
Larissa Martins,lmartins,lariss@12,95145612388,470
Thiago Barros,tbarros,thi0099,14736925844,23000
Daniela Farias,dfarias,daniABC,25896314732,760
André Azevedo,aazevedo,andre12,36914725890,4000
caio,ca,1,1,0
Caio,caioo,1,86659633596,0
oi,j,11,123,0
Ines,ines,1234,123456789,0
